Victor Wanyama,Tottenham,26,DM,25.0,Kenya
Eric Dier,Tottenham,23,DM,25.0,England
Ben Davies,Tottenham,24,LB,12.0,Wales
Danny Rose,Tottenham,27,LB,28.0,England
Mousa Dembele,Tottenham,30,CM,18.0,Belgium
Vincent Janssen,Tottenham,23,CF,13.0,Netherlands
Kieran Trippier,Tottenham,26,RB,10.0,England
Moussa Sissokho,Tottenham,27,CM,20.0,France
Harry Winks,Tottenham,21,CM,4.0,England
Erik Lamela,Tottenham,25,RW,25.0,Argentina
Michel Vorm,Tottenham,33,GK,4.0,Netherlands
Georges-Kevin N%27Koudou,Tottenham,22,LW,7.0,France
Kevin Wimmer,Tottenham,24,CB,7.0,Austria
Ã‰tienne Capoue,Watford,29,DM,9.0,France
Troy Deeney,Watford,29,CF,11.0,England
Heurelho Gomes,Watford,36,GK,1.0,Brazil
Jose Holebas,Watford,33,LB,2.0,Greece
Miguel Britos,Watford,32,CB,3.5,Uruguay
Sebastian Prodl,Watford,30,CB,4.0,Austria
Nordin Amrabat,Watford,30,LW,4.5,Morocco
YounÃ¨s Kaboul,Watford,31,CB,2.5,France
Tom Cleverley,Watford,27,CM,8.0,England
Daryl Janmaat,Watford,27,RB,7.0,Netherlands
Valon Behrami,Watford,32,DM,2.5,Switzerland
Roberto Pereyra,Watford,26,AM,15.0,Argentina
Stefano Okaka,Watford,27,CF,6.0,Italy
Abdoulaye Doucoure,Watford,24,CM,6.0,France
Kabasele,Watford,26,CB,5.5,Belgium
Craig Cathcart,Watford,28,CB,4.0,Northern Ireland
Isaac Success,Watford,21,LW,4.0,Nigeria
Adrian Mariappa,Watford,30,CB,1.0,Jamaica
Nathaniel Chalobah,Watford,22,DM,5.0,England
Mauro Zarate,Watford,30,SS,2.0,Argentina
Costel Pantilimon,Watford,30,GK,3.0,Romania
Kiko Femenia,Watford,26,RB,4.0,Spain
Steven Berghuis,Watford,25,RW,5.5,Netherlands
Will Hughes,Watford,22,CM,8.0,England
Gareth McAuley,West+Brom,37,CB,1.0,Northern Ireland
Salomon Rondon,West+Brom,27,CF,15.0,Venezuela
Matt Phillips,West+Brom,26,RW,9.0,Scotland
Ben Foster,West+Brom,34,GK,4.0,England
Nacer Chadli,West+Brom,27,LW,15.0,Belgium
Craig Dawson,West+Brom,27,RB,6.0,England
Chris Brunt,West+Brom,32,LM,4.0,Northern Ireland
James Morrison,West+Brom,31,CM,5.0,Scotland
Jonny Evans,West+Brom,29,CB,7.0,Northern Ireland
Jake Livermore,West+Brom,27,DM,7.0,England
Allan Nyom,West+Brom,29,RB,4.5,Cameroon
Jay Rodriguez,West+Brom,27,CF,10.0,England
Claudio Yacob,West+Brom,30,DM,4.0,Argentina
James McClean,West+Brom,28,LW,3.0,Ireland
Hal Robson-Kanu,West+Brom,28,LW,2.5,Wales
Jonathan Leko,West+Brom,18,RW,1.5,England
Sam Field,West+Brom,19,CM,0.25,England
Boaz Myhill,West+Brom,34,GK,1.5,Wales
Ahmed Hegazy,West+Brom,26,CB,1.0,Egypt
Robert Snodgrass,West+Ham,29,RW,8.0,Scotland
Manuel Lanzini,West+Ham,24,AM,15.0,Argentina
Michail Antonio,West+Ham,27,RW,18.0,England
Winston Reid,West+Ham,29,CB,10.0,New Zealand
Jose Fonte,West+Ham,33,CB,7.0,Portugal
Andre Ayew,West+Ham,27,LW,18.0,Ghana
Cheikhou Kouyate,West+Ham,27,DM,12.0,Senegal
Mark Noble,West+Ham,30,CM,7.0,England
Darren Randolph,West+Ham,30,GK,2.5,Ireland
James Collins,West+Ham,33,CB,2.0,Wales
Andy Carroll,West+Ham,28,CF,10.0,England
Adrian,West+Ham,30,GK,8.0,Spain
Aaron Cresswell,West+Ham,27,LB,12.0,England
Pedro Obiang,West+Ham,25,CM,9.0,Spain
Sofiane Feghouli,West+Ham,27,RW,12.0,Algeria
Angelo Ogbonna,West+Ham,29,CB,9.0,Italy
Pablo Zabaleta,West+Ham,32,RB,7.0,Argentina
Edimilson Fernandes,West+Ham,21,CM,5.0,Switzerland
Arthur Masuaku,West+Ham,23,LB,7.0,Congo DR
Sam Byram,West+Ham,23,RB,4.5,England
Ashley Fletcher,West+Ham,21,CF,1.0,England
Diafra Sakho,West+Ham,27,CF,10.0,Senegal
